：“	;q
粗体	pfje
蛇纹	cwiv
免烫	wpka
泄露天机	ktfe
八荣八耻	hlhq
新新人类	iijp2
报告厅	uqxa
三重奏	tlai2
现代派	njkx2
脏乎乎	vtth
苛捐	lzud2
麦迪	ahdu2
崇文区	vvnb
硬卧	mfqy
苍南	ljnm2
总政	hdfs
像章	jwxn
声光	gcmg
拟合	uvjd2
有机玻璃	nenn
挖墙脚	ugvg
凭单	jthq2
丢包	tgnv
从轻发落	jysl
滋补品	ktdd3
哪般	dair
病句	afgj
卷筒	hhrm
事后诸葛亮	fxsg
光杆司令	meaj
头文件	wvjq
乐陵	bytg2
黄易	nhon
年根	evei
药罐子	lahi3
烦杂	cwke
庆历	xmxs
通配符	kyrj
弓腰	bgvv
牛饮	qnqe2
窝里横	eden
解任	xtjt
有头无尾	nwdc
现行犯	npmz
神鬼莫测	falk
耵聍	qaqw
丑脸	agvj2
蚍蜉撼树	ccue3
管径	rwwr
险隘	tjtk
转祸为福	yfif2
失迎	thbz
蚕食鲸吞	fqwf
光风霁月	motv2
班风	npob
一日三秋	fotx
咏梅	diee3
舶来	iuah2
抄表	uyat
试打	spua
百兆	fupw
见罪	ejyr
银霜	zite6
红焰	iucx
送佛送到西	hjhv2
砂壶	mygw
虾球	cfnf3
剔骨	onfg
案宗	wbwf
铅弹	zobh
掉坑	uygz
白屏	ubch
棉服	euvz
鼾睡	oqql2
群鱼	btwv
弹仓	bhjz
收件箱	ijre2
俄克拉荷马	jcun3
苦经	lcir2
股改	vrvh
本版	efax
豪华版	gjax
何以见得	jvew
佛跳墙	jpgg3
取款机	qgeo
大姐大	mbmd
七里香	rdxo
先苦后甜	qlxa
沪指	kmuv
张斌	bpvf
办厂	shxc
尼桑	cvrr2
龙芯	tllh2
选调	qpsm2
奥赛	tmwq
湾仔	kzjh2
起薪	pvli
脸形	vjfl2
尚方宝剑	slwj2
短波	ozkr
起搏器	pudd
蜂王浆	cnal
失物招领	tquj
爱国心	yrhx3
扩展名	ucld
摄食	uqqs
巾帼英雄	rrln
西峡	vxvh
零线	tjif
洋火	kgch5
大酱	mdal3
复印纸	ebib2
起讫	pvse
咖哩	dsdd3
姑夫	bchf
失之毫厘	trgx
遮丑	xlag3
遮阴	xltv
正中下怀	fdfh
晒台	ovkd
烟馆	crqw
腰花	vvlj
自古英雄出少年	ocle
借位	jlji2
一朝天子一朝臣	fnfq
临难	prru2
外倾	lyjv2
撤防	ubtl2
心不烦	hccw
华师	jvpf2
成千成万	nlnf2
田垄	qttg
驴唇不对马嘴	nfcd
尸解	csxt
股掌之上	vsry3
公举	hkkh3
狼嗥	midu2
三人成虎	tjnz
云翳	byno
天姿国色	fwrx
锻铁	zuzt
污痕	kmai3
困觉	rekw
传述	jmei
窜逃	edpw
领罪	jkyr2
通彻	ktwr
呵责	dzao
拜贺	ufsd
满文	klvw
云消雾散	bktl2
狮子王	mhnw
乏累	trqi
游目骋怀	kqnh2
全月	jnvy3
信笔涂鸦	jrkl
财年	onev3
俯拾	jxuj
施药	leli
校史	eadb
纯蓝	iflp
痛扁	akmi
铃音	zjxy4
割脉	wavi2
刀箭	pdrh
弯管	zcrw2
雨刮器	tadd
软尺	yeci
硒鼓	mvhc
四码	ysmn
碰落	mhlk
雨露均沾	ttgk
回蓝	rdlp3
轴体	ydje
民科	dmxj2
懒猪	hxmq
惯称	hkxx
空少	euyt
锁芯	zylh
犯怵	mzhe2
株连九族	eykl
退离	iuzb
风花雪夜	oltz
识数	sdpb2
询查	sneo
梦之队	ertj
画商	fqim
团年	rnev
至关紧要	yhpv
牛股	qnvr
奥组委	tixb
国防生	rtls
劳动保险	lbjt
另行通知	dpko
天行健	fpjb
清者自清	kqok
康熙来了	xqar
秦时明月	aoov
结构体	ieje
风景秀丽	ooxf
高手如云	gubb
侮蔑	jely2
小泉	yxuk
弹道导弹	bhvb
刑拘	flug2
鸡年	rxev
墨西哥城	pvzg
空调器	esdd
火山灰	cvnc
普利策	hxre
三八妇女节	thbl
停刊	jgep
民间文学	davk2
飞行物	cpqn
头面人物	wbjq2
祖母绿	fkib2
果胶	qeva
钨丝	zxii
精到	payp
淮扬菜	kuly
公诸于世	hsfl2
门岗	amvm
戒赌	ploq
传为美谈	jigs3
三角裤	txtx
烧卖	cpna2
忠骨	dgfg
教民	qhdm2
原子钟	xhzd
门罗	amyl
拉花	uilj2
鄙俗	dnjh
忠贞不二	dycm2
拉布拉多	unul2
破门而出	mals2
不肖子孙	cyhh
不值一文	cjfv
胜造七级浮屠	vqrc
举止言谈	ksss4
生擒活捉	luku
不杀之恩	cbrr2
本台	efkd
人文景观	jvor2
固本培元	regm
婴儿车	opyc
家大业大	wmcm
打比方	uvlf
携手并肩	uuhm2
收破烂	imch3
步入正轨	sjfy
独行侠	mpjh
率性而为	zhli
表兄弟	adht
阴雨连绵	ttyi
二手烟	mucr
军事法庭	wfkx2
另有隐情	dnth3
小康生活	yxlk
岁岁平安	vvew
得理不饶人	wncj
战争状态	yxam2
推倒重来	ujla2
无人不晓	djco2
死刑犯	gfmz
激光照排	kmou
煲电话粥	josb2
研究决定	meww
驻华大使	njmj
各色人等	sxjr2
启蒙运动	mlbb2
国家财产	rwoi2
基本点	zeyd
对外政策	rlfr
核桃仁	eejm
简单易行	rhop
红通通	ikkt
退一步说	ifss2
马路牙子	nplh
巡回赛	orwq
霍顿	tufs
首航	hoiz
碳纤维	miiu2
金大中	zmdg
穆勒	xuts
一箭之仇	frrj
纯利润	ixka2
卡扎菲	yulr
报告文学	uqvk
沙田	kyqt2
大事记	mfsv2
拿来主义	jaii
调度员	sxdo2
空调机	eseo2
达赖喇嘛	mxdd2
植树节	eelz2
绝对数	irpb
麦迪逊	adhy
修订版	jsax
花童	ljid2
畅行	ogpx
脱氧核糖核酸	vvey
二房东	mmry2
建筑队	brtj
吉布提	gnuo
深感不安	kncw
土著居民	glcd
清凉油	kwkd
硬纸板	miex
绞索	ianw
静园	avrm
诱供	sxjl
酒具	kyqh2
普拉提	huuo3
雅利安	lxwb2
海禁	keee3
平流层	ekcb2
冰库	wkxy
美人蕉	gjlu
同轴电缆	myoi
江米	kupm
病魔缠身	aziz
涝灾	klwc3
回航	rdiz
时快时慢	ohoh
日心说	ohsh2
无影灯	doca2
急风暴雨	xoot
阴离子	tzhi4
钎子	zlhi2
女子无才便是德	bhdw
生物电	lqoa
点穿	ydel
审度	woxl2
一男半女	fqhb2
泥古	kccg4
赔钱货	ozjv2
路西法	pvkg
复合词	ejsa
歆羡	xegw
羞花闭月	glav
左行	nupx
海伦凯勒	kjvt2
夏虫语冰	fcsw2
九宫格	kwes
假洋鬼子	jkah2
基础学科	zmkx
巨大损失	nmut
恰好相反	hbex
惹人注目	ljkq
感受力	nysl
无人之境	djrg
热气球	uvnf2
牧羊犬	qgmq
离愁别绪	zxdi
精神百倍	pffj
老年痴呆症	qeaa
老熟人	qgjr2
聚散无常	qlds
自有分寸	onhk
获胜者	lvqo
雅各布	lsnr
享清福	gkff
令人咋舌	jjda3
偷税漏税	jxkx
十年磨一剑	nezj2
屋漏偏逢连夜雨	ckjt
微观经济	wrik2
情报网	humb
无私无畏	dxdq2
民心所向	dhmt2
科学史	xkdb
站得住脚	iwjv
聪明能干	qoke
鱼香肉丝	wxmi
排灌	urkl3
偏听偏信	jdjj4
精细胞	pivn2
神经科	fixj2
不了的	crun
如果有	bqnv2
仫佬	jtjq3
简讯	rasa2
外电	lyoa3
预选赛	iqwq
磁悬浮	mfky
蒙特利尔	lqxx3
抗灾	uzwc
募股	lovr2
克什米尔	cjpx
杜马	egnm
补报	tyuz
禁运	eebu5
播发	utsr
求购	fkon2
危地马拉	xgnu
乌兹别克	xhdc
琼海	ngke
民防	dmtl
卖座	naxj
截击	npum
阴蒂	tvli
散件	lvjq
色拉油	xukd2
玻璃钢	nnzm
述评	eise
旅游鞋	lktg
互派	fbkx
撒手锏	uuza2
评阅	seah
边民	sudm
均摊	gnur2
有利有弊	nxnf
芦笙	lmrl
阳极	toec
妇孺皆知	bhvo2
徐闻	wjaq
打擂	uaut4
小传	yxjm
说戏	shrp2
警讯	lgsa2
孔府	haxj
星团	olrn
瓮城	hkgn
罄竹难书	grra
欧罗巴	nymb
掩鼻	umoq
通铺	ktzn
宫苑	wdll
腌渍	vmka
界石	qjms
挡驾	uysd2
淤塞	klwq
押车	usyc
保温瓶	jkhl3
农艺	wtla
诱杀	sxbe2
精当	payb
女角	bnxt
毒饵	akqq
藕粉	laph2
楷体	evje2
枕戈待旦	epwo
有教无类	nqdp
家贼	wjop
零蛋	tjtc
心中无数	hddp2
骑墙	nmgg7
胡搞	cvug
芳邻	lljk
多快好省	lhby
清样	kaeg2
坐失良机	jtie
比肩而立	vmli
脑颅	vzyc
缄口不言	idcs
知书达礼	oamf
编订	imsa
显耀	ocmz
焦耳	ucqe
调治	smkk
耳听为虚	qdiz
排除异己	utvv3
百年树人	feej
弄臣	nlqc
耕织	aqid2
怒潮	brkn
凿穿	cgel
水酒	ksky
蟾宫	cxwd
存身	ngzs2
苦参	lckm
词类	sapm2
除旧布新	tgni
单摆	hquy
速记员	xsdo
失道寡助	thwf
除恶务尽	tfhc
雅静	luav2
理屈	ndcs
敝帚自珍	fbon
露白	tpub
莽原	lmxu
收揽	ihup
切点	rpyd
未时	awok2
脱肛	vhvu2
语素	swai2
南齐	nmqq2
徇情	wnha
肺痨	vfal
违拗	guui
肴馔	bnqv
疏懒	tbhx
顶事	awfd
赋役	ofwr
雌蕊	svlh
日暮途穷	olje2
蜡丸	clki
哭丧棒	dgea2
寒苦	wqlc
蔼然	lsvm3
反美	xrgm
农用车	wtyc
汉译	krsr
假账	jcop3
互设	fbsr
送爽	hmmb2
苏浙	lsku
买官	awwk
旧话	gosa
屡经	cpir
帽沿	roko
释惑	tppd
市域	zrgp
略嫌	qsbh2
徒具	wpqh
小桶	yxek2
机织	eoid2
自奉	oiai
驰誉	nekh2
表姊	atbt
外野	lydi
境域	gxgp
飞度	cfxl
竖线	prif
已阅	viah
智能卡	okyf
氧吧	vgdm
共约	lhin
程朱	xdta2
身残志坚	zggp5
验印	njbf
消协	kyns
女队	bntj
欧佩克	njcp
乌拉圭	xugg2
立陶宛	itwl
输油	yjkd
分赴	hppy
博导	nnvk2
肉制品	mqdd
排水量	ukof2
客舱	wsij
亚美尼亚	fgcf
开园	flrm4
专刊	maep
种苗	xdlq
缉捕	idun
冲压	wdxg
唐古拉山	xcuv
总厂	hdxc
英联邦	lqat
采油	yekd
奥斯陆	tztu
邮资	dtwe
反串	xrdd2
煤层	czcb2
定级	wtic
犹他	moje
棉纺	euil
搓澡	ugkd
哑火	dfch4
舞技	eluc3
中生代	dljp2
押宝	uswn2
铜版纸	zaib
撞毁	uipu
获益匪浅	lknk3
空白点	euyd2
封套	ggmp2
尝新	sbie
库恩	xyrm
拉斐尔	urxy2
滔天罪行	kfyp2
舒曼	jaoy
车模	ycel
管件	rwjq
矿渣	mxke2
壁柜	cden
直拨	nqus
健脑	jbvz
齐唱	qqdo2
捏一把汗	ufuk
导轨	vkyk
含糊其词	jpzs
进占	quyd
押题	usot
触网	xtmb3
助产士	figs
隔行	tnpx2
借重	jlld2
迷航	puiz
赤膊上阵	gvyt
哨位	dyji
急电	xboa
油垢	kdgx
酱肉	almj
重修旧好	ljgb2
贤达	prmu
磅秤	mixe2
史论	dbsj
虚晃一枪	zofe2
齐心合力	qhjs
主课	insq2
公判	hkhu
迷魂阵	pbty
油酸	kdyk
色织	xmid2
宁缺勿滥	wank
改弦易辙	vboy
劣等	ytrg
菁华	lajv
灯市	cazr4
阿尔泰山	txav
棉织	euid
寄寓	wmwq
唱高调	dgsm2
顶呱呱	addy
龙年	tlev
缫丝	ioii
断语	pasw
怪论	hrsj
耗竭	avio
恶露	fctp
断炊	pace
安卧	wbqy
扔弃	uvbl
仪态万方	jmfl2
谜面	spbm
冲喜	wdhd
花腔	ljve2
贪污犯	jkmz
征尘	wfyg
金鸡独立	zrmi
采制	yeqr2
文不对题	vcro
烧麦	cpah
纳福	imff
灯丝	caii
横匾	ennm2
奉若神明	alfo3
苇塘	lggx
马年	nmev2
复写纸	ewib
王永民	nidm
绿藻	iblk
贪色	jaxm
军制	wyqr
替班	hhnp
化冻	jvwr
月下老人	vfqj
请功	saus2
攻心为上	uhiy
师训	pfso2
绿林好汉	iebk
曲霉	yqte
保甲	jdsj
服罪	vzyr
罢黜百家	ypfw
编年体	ieje2
框图	enrh2
斩六将	yaal2
得陇望蜀	wtfy4
洋洋大观	kkmr2
以怨报德	vluw
断乳	payh2
块茎	gnlr
瘠薄	awlk
言不及义	scci
同心合力	mhjs2
爱民如子	ydbh
排斥异己	utvv4
揣想	uveq2
削除	yvtj2
指靠	uvqd
泥垢	kcgx
代序	jpxi2
二律背反	mwax2
相反相成	exen3
锻打	zuua
倦色	jhxm
军令如山	wjbv
瓜仁	ygjm
允准	kpwu
求根	fkei
近体诗	tjsg
悲号	rhdf
渴念	koja2
预卜	iwyb
只知其一	dozf
炭盆	vnhp3
掏摸	unul3
细琐	iqny
侮慢	jeho
布边	nrsu
英译	lmsr
毁林	puee2
核战	ekyd
销售一空	zufe
斜塔	jxgl
双雄	rrnk2
塔式	glpu
宽频	wlss
防暑	tloq
表形	atfl
救险	fktj2
免进	wpqu
承制	akqr
耕者	aqqo
雕凿	mgcg3
室女	wybn3
寻医	bkno
月费	vyto
团支书	rcaa
衣履	ticw
乱离	aazb
杂书	keaa2
竖排	prur
标贴	efoy
喷雾剂	dtqp
煤屑	czcy3
叫冤	diww2
整垮	xhgm
辞色	anxm
点钞机	yzeo
车影	ycog
雏妓	xbbc
刻录机	kbeo
以巴	vjmb
双周	rrmg
紫外光	slmg2
退团	iurn
爱尔维修	yxij
黑棋	phez
租售	xfud
威海市	nkzr2
摇杆	uyee
石河子	mkhi2
海象	kewx
廉江	xhku
喷雾器	dtdd
混水摸鱼	kkuw2
专座	maxj2
锡林郭勒	zegt3
西岳	vxtf
碘酒	miky
各为其主	sizi
卤味	yrda
黑五类	pwpm
剿共	oqlh3
定销	wtzy
换牙	uxly
不以为耻	cviq
废铜烂铁	xzcz
附议	tjsi2
清官难断家务事	kwrf
推知	uuod
库藏	xyln
草食	loqs
笋子	rbhi
曳光弹	ombh
黄粱美梦	nkge
士为知己者死	giog
琐细	nyiq
细润	iqka2
修心养性	jhgh2
门斗	amjd
轻活	yrka
锦葵	zulh2
吃了豹子胆	drmv
抱薪救火	ulfc
淫贱	kyof2
糊糊涂涂	ppkk
逼人太甚	fjmz
新罗	ieyl
如臂使指	bcju
蜜里调油	wdsk
不露锋芒	ctzl
囊萤映雪	nlot
拚搏	ukun2
苁蓉	ljlw
红方	iulf
单张	hqbp
服服贴贴	vvoo
加亮	sdgo
牛杂	qnke
陪房	timl
叠字	rrwh
刮宫	apwd
附魔	tjza2
溪岸	kyvx
品控	ddue
回滚	rdkt2
糖豆	pxzd
宋辽	weru
忽左忽右	nnnn4
据闻	ucaq
木墩	emgg2
长项	pcuw2
秋装	xcag
凝缩	wviw2
熟脸	ghvj
词量	saof
无凭无据	djdu4
蘸满	lykl2
伶俜	jjjd6
靓颖	avvx2
涨停板	kjex
好歌	bhzz
鼠标垫	peuk
小高层	ygcb
倚天屠龙记	jfcs2
斗破苍穹	jmle2
星期几	ozoj2
讲文明	svov
刚柔并济	mihk3
妇产医院	bint
新年好	iebh
此情可待	shzw
车架号	ysdf2
大笨蛋	mrtc
恐高症	ugaf
肌肉男	vmqs
脑筋急转弯	vrxz
花姑娘	lbbi2
酸菜鱼	ylwv
散客	lvws
胡军	cvwy
来料加工	apsu
浅海	kfke
捉拿归案	ujpw
硚口	mtdk3
南欧	nmnb2
辞工	anug2
氯酸	vbyk
通令	ktjk2
澄江	khku4
欢喜冤家	rhww
亚铁	fczt
乐果	byqe
学而优则仕	kljj
柔术	itei
子部	hiid
耙子	amhi2
军伍	wyjw
编目	imqm2
铜版	zmax
孽债	ltja2
巫山云雨	uvbt
狡兔三窟	mwte
顾准	xzwu
宽城	wlgn
油壶	kdgw2
樟脑丸	evki
赞语	qpsw
积垢	xdgx
内亲	mjie
烧包	cpnv2
砂粒	mypi
舌战群儒	aybj3
短号	ozdf
一日夫妻百日恩	fohr2
合闸	jdas
辛未	nxaw
七零八碎	rthm
丧假	ghjc
思密达	qwmu
惨厉	hkxf
吉人天相	gjfe2
熵增	cigh2
船篷	iorh
犟嘴	bdds
伏罪	jmyr
安土重迁	wgll
一无所能	fdmk2
危急存亡	xxnf
螟蛉	cwcj
骄躁	ntpd
呱唧	dydi
知恩报恩	orur
月下花前	vflh
私车	xkyc
精武	pafp
慎选	hnqp
双性	rrhl
抢匪	ujnr
预借	iwjl
音源	xykx
自毁前程	ophx2
班规	nphe2
走势图	purh
打拚	uauk2
阔达	akmu
屯扎	fsua
眩光	qzmg
包工包料	nunp
茶渍	ljka2
不稂不莠	cxcl
志当存高远	gynm
环切	ncrp
监斩	pryt
轻脆	yrvx2
慢坡	hogr
廉租	xhxf3
搭戏	ulrp
扫腿	ubvi
酷睿	yqgh
速归	xupb
首笔	horv
群员	btdo2
毫针	gvzn
西气东输	vvry2
害喜	wahd
过期不候	kzcj
无往而不利	dwlx2
万网	fpmb2
月卡	vyyf
吹水	deks3
探班	uwnp
广播站	xuiy2
单身贵族	hzcl
火星文	covw2
屈臣氏	cqbs
总教练	hqir
申花	oglj
装机容量	aewo
雨夹雪	thtb2
起落架	plsd2
抗洪抢险	ukut2
抢手货	uujv2
履新	cwie
迪士尼乐园	dgcr3
阅读器	asdd
六一儿童节	afpl
热那亚	uafc
赫鲁晓夫	gwoh3
誓师大会	upmj2
莱茵河	llkz2
绶带	iylw
国庆日	rxor
电焊工	ocug2
高才生	gnls
人头马	jwnm
莱昂纳多	loil
满洲国	kkrn2
阿拉伯半岛	tujx
开襟	flte2
总集	hdue
芝麻开花节节高	lzfg
十里洋场	ndkg
退而结网	ilim
巧妇	ufbb2
早知今日	oojo
愁云惨雾	xbht
手谈	ussc
分忧解难	hhxr
后不着店	xcgx
一日为师	foip
单位制	hjqr
挂灯	ugca
冠盖	wmga
风流潇洒	okkk2
补遗	tyco
起驾	pvsd
节肢动物	lvbq
万斯	fpzh2
歌伎	zzjc
入声	jugc
尥蹶子	ophi2
电位差	ojgu
狂虐	mnzb
海水不可斗量	kkco
轻拢慢捻	yuhu
世事洞明	lfko2
两人世界	mjlq2
交通法规	akkh3
到此一游	ysfk
动感情	bnha
安危冷暖	wxwo
开小灶	fycg2
相同之处	emrh
解放初	xltp
跨行业	ppcy
不成方圆	cnlr
不相适应	ceax
全国总工会	jrhj
农民战争	wdyx
几何图形	ojrf
吐气如兰	dvbh2
埋头工作	gwuj
大好时机	mboe
对照检查	roee
拼命三郎	ujti3
搞对象	urwx2
携起手来	upua
放马过来	lnka2
无心插柳柳成荫	dhul
无权无势	dedu
机组人员	eijd
私定终身	xwiz
艺术价值	lejj5
试管婴儿	srop
难以挽回	rvur
风清云淡	okbk
众生平等	jler
候机厅	jexa
又气又急	rvrx
备受瞩目	hyqq
工商企业	uijc2
报效祖国	uafr
泛泛之辈	kkrr3
游行示威	kpfn
第二梯队	rmet
讲卫生	szls2
非常时期	rsoz
麻黄碱	znmn
人才交流	jnak
选送	qphm
三星级	toic2
执行主席	upix
沼气池	kvke
渥太华	kmjv
休会	jejb3
卫星通信	zokj
氯气	vbvq
高保真	gjnq
领航员	jido
超水平	pkeh2
轻武器	yfdd4
茶农	ljwt3
邛崃	utva
山塘	vsgx
艺术化	lejv3
合作制	jjqr2
救生员	fldo
罹难者	yrqo3
溜冰场	kwga2
史泰龙	datl
夏收	foih2
生存率	lnzi
沙棘	kyem3
红得发紫	iwss2
咏叹调	ddsm2
重判	ldhu5
敌舰	ahie2
指示器	ufdd
版本号	aedf
收发室	iswy2
口技	dkuc2
七分之一	rhrf2
开斋节	fvlz
漂白剂	kuqp
老幺	qliy
坐骨神经	jffi2
闹肚子	avhi3
撑门面	uabm
告密者	qwqo
亲如一家	ibfw
摩天大厦	zfmx
飞盘	cfia
支系	citi
月蚀	vyqc
贤慧	praa
水獭	ksmx
幡然悔悟	rvhh
末梢神经	fefi3
套印	mpbf
减速器	wxdd
搅拌器	uudd
衬裙	tktb
击中要害	udvw
大门不出	macs
鲜货	wgjv
三个臭皮匠	tjon
竹筒倒豆子	rrjh2
颠茄	nqls
细微末节	iwfl2
古谚	cgsi
楔形文字	efvw2
宝丽来	wfah
六弦琴	abnn
余弦	jxbz
公筷	hkrh
国将不国	racr
豪族	gjle
伪饰	jiqe
痦子	awhi2
石灰质	mnxn2
形声	flgc
平话	ehsa
开仗	fljf
饱经忧患	qihd
潜踪	khpw3
赛璐珞	wnns
屏声	chgc
一碧万顷	fnfv
中央处理器	dmhd
予以考虑	ivqz
亚硝酸盐	fmyg2
善莫大焉	glmf
多不胜数	lcvp
导盲犬	vfmq
雪茄烟	tlcr
颇有微词	rnws
免费午餐	wteg
团圆饭	rrqx
庸脂俗粉	xvjp
无所不谈	dmcs
极目远眺	eqmq2
突破点	emyd
高等动物	grbq
黄金屋	nzcy2
嘎嘣脆	ddvx3
这么大的	vtmu
有关的	nhun
生活中的	lkdu3
具体的	qjun
大量的	moun
在里面	ndbm2
我却	tugk2
我认为	tsis
他都	jeqo2
要将	vbal2
醒肉	yomj3
三阳	tsto
大有可为	mnzi2
柜面	enbm3
开初	fltp2
锐角	zhxt2
怨悔	lzhe5
间作	aojw2
咽喉炎	ddcc5
下一个	ffjg
历史的	xdun
狠狠的	mmun
是这么	ovtk2
他自己	jovj2
收市	ihzr
面市	bmzr
笑星	rtol
冲顶	wdaw
戈尔巴乔夫	pxmh2
尼加拉瓜	csuy
载文	npvw
编委	imxb
机务	eohs
排号	urdf3
核战争	eyxb
报界	uzqj
管乐	rwby
治丧	kkgh
豆奶	zdbv
工薪族	ulle4
英汉	lmkr2
七七事变	rrfz
嫩江	bxku
哨卡	dyyf
杂项	keuw
总汇	hdkn
下脚料	fvpj
线路板	ipex
一衣带水	ftlk
力荐	slln
阁员	asdo2
钾盐	zsgy
心中有鬼	hdna2
机耕	eoaq
伴唱	jhdo
矽肺	mlvf
缺斤短两	atom
二进宫	mqwd
舞艺	ella2
真空管	nerw
看押	uqus
亚非拉	frui
碑身	muzs
武备	fphq
色子	xmhi3
孤军作战	hwjy
烽燧	chch6
史话	dbsa
十八罗汉	nhyk3
汽艇	kvit
漫谈	kosc
寸土必争	kghx2
苏伊士	ljgs3
指陈	uvtr
海菜	kely5
壮歌	agzz
订约	sain
搬移	uixl
惨景	hkog2
旱田	oeqt
声频	gcss
添补	kfty
绦虫	ihcc
乡贤	ixpr
邻接	jkui3
条分缕析	hhie
蝮蛇	cecw3
卧姿	qywe
雅乐	luby
坐失	jjth
油桐	kdem2
缉查	ideo2
代人受过	jjyk
乌七八糟	xrhp
内患	mjdd4
形影相随	foet
指画	uvfq
尾大不掉	cmcu
癌肿	advd
陡壁	tpcd
蜡纸	clib
前汉	hvkr
庖丁解牛	xaxq
孑遗	rfco2
砂眼	myqi
嫁鸡随鸡	brtr2
热机	ukeo2
朱批	tauv
游伴	kljh2
首恶	hofc2
画谱	fqsh2
单句	hqgj
抱恨	unhi2
万头攒动	fwub
缩头缩脑	iwiv
十年树木	neee
牙慧	lyaa
纵谈	ijsc
花香鸟语	lxxs5
奇技	mzuc2
打援	uauy2
润笔	karv
叩见	dzej
混淆黑白	kkpu
不亢不卑	czcu2
怫然	htvm2
痛恶	akfc5
不念旧恶	cjgf
宽解	wlxt
简慢	raho
抽咽	uddr
哀切	tdrp
黑星	phol
陆空	tueu
综治	iwkk
跳投	ppur
机载	eonp2
购回	onrd3
僚机	jmeo
假案	jcwb
马球	nmnf
十项全能	nujk
史载	dbnp
电暖	oaoy
见工	ejug2
辽金	ruzj2
不落俗套	cljm2
学案	kwwb
牙祭	lyhf
拜把	ufum2
辅修	ynjg
难除	rutj2
缴销	iuzy
敕封	xhgg
长斋	pcvl
踢给	poij
倦乏	jhtr2
细处	iqhy
拜将	ufal
禅门	fham
虎纹	zhiv
彩页	yewy2
女仔	bnjh3
宽带网	wlmb
习题集	zoue
著文	lqvw3
赶写	pewf2
季军	xhwy3
赢球	fdnf
深市	kwzr
直航	nqiz
旱情	oeha
思科	qhxj
增开	ghfl2
里斯本	dzef2
关岛	hmxv
扒窃	uher
国宾馆	rwqw
海派	kekx3
采血	yeta
联办	qhsh
转用	ymty
马祖	nmff
多米尼加	lpcs
卢湾	yckz
火控	chue
堪培拉	ggui2
鱼苗	wvlq
腭裂	vdgp
印第安纳	brwi
二炮	mecn
独辟蹊径	mcpw
胶合板	vjex
触媒	xtbz
壮行	agpx
读秒	snxy2
华兴	jvkh
消火栓	kcej
请愿书	sxaa
省府	ytxj
雨花石	tlms
招亲	upie
土法	gtkg
支前	cihv
香槟酒	xeky
喀秋莎	dxlk
白垩纪	ufiv2
恳谈	ihsc2
频仍	ssjv
喷墨	dnpg2
无可争辩	dzxn
引航	bgiz
油压	kdxg
食油	qskd
改弦更张	vbfb
景泰蓝	oalp
试销	spzy
蜜枣	whem5
复电	eooa2
桑蚕	rrfm
三段式	tupu2
浸渍	kbka4
无关大局	dhmc
试讲	spsq2
靶标	tmef
债款	jagf
胶合	vajd
呢绒	dcip
田鸡	qtrx
煤气炉	cvcm2
日薪	orli2
民主派	dikx
银矿	zimx
车匪路霸	ynpt
隆昌	thoo
精兵简政	ptrf3
织补	idty
吐故纳新	dcii
方剂	lfqp
邮船	dtio
银粉	ziph
独木难支	merc
抽穗	udxn
摆龙门阵	utat
虚岁	zcvl2
瞒骗	qlnm2
回音壁	rxcd
珠圆玉润	nrnk3
倒彩	jyye
中缝	dgih2
鱼卵	wvbl
有口难辩	ndrn
明修栈道	ojeh2
裁处	nphy
臼齿	pjlc
格林威治	eenk2
拒斥	unti2
照葫芦画瓢	ollv2
横遭	enfy3
扬名天下	ulff2
半老徐娘	hqwb3
败军之将	owra
温故知新	kcoi
雉鸡	ourx
自叹弗如	odtb
圆熟	rdgh
球茎	nflr2
音区	xynb2
膜片	vlap
晤面	owbm
测字	kowh2
天高气爽	fgvm
空口无凭	eddj
紧绷绷	piiv2
师出无名	psdl
眉批	cquv
共和制	lxqr
古生代	cljp4
历书	xsaa
勤杂	ldke2
心明眼亮	hoqg
口疮	dkaj
秦晋之好	afrb
鬼把戏	aurp
文以载道	vvnh
出污泥而不染	skkk2
漠然置之	kvyr
八面威风	hbno2
紧促	prjp
斥力	tisl3
灵慧	bcaa
浑身是胆	kzov
相切	eqrp2
庆寿	xmak
永志不忘	igcf
淫雨	kytv4
飘曳	vfoa
从略	jjqs
敌害	ahwa
壅塞	ziwq2
罪恶滔天	yfkf
闭目塞听	aqwd
卖国求荣	nrfl
独往独来	mwma2
汉魏	krxb3
杯中物	edqn
胼手胝足	vuvp
驯良	noii
奉天承运	afab
相扰	equo
别有天地	dnfg2
葬身鱼腹	lzwv2
转注	ymki
茫无头绪	ldwi
搜索枯肠	unev
虎钳	zhzz
肯于	svfn2
北南	avnm
歪理邪说	cnls
即达	izmu
兆瓦	pwrw
长法	pckg
运煤	bucz
减员增效	wdga3
禽畜	jzzi
毒犯	akmz
鸣锣	dxzy
抢注	ujki
捉对	uprk
盗名	weld
双拐	rrud
电喷	oadn
湖景	kcog
揉合	uijd3
撤资	ubwe
伞形	jhfl
胸卡	vnyf
返归	xrpb
油爆	kdco
唱功	dous
战争片	yxap2
龟背	wgav
透绿	xvib
恰值	hjjn2
阳具	toqh
执刀	ukpd4
浪峰	kivh
在商言商	nisi
危崖	xxvx
三角架	txsd
丰乳	afyh
蹲坑	phgz
斩仓	ytjz2
现楼	neep
肥仔	vmjh2
脚踏板	vpex
